poi_id,name,type,city,source_image_url
42,爷爷不泡茶 NOYEYENOTEA(北京大栅栏店),美食,北京,https://img.meituan.net/content/061aef4b74c8f6dc2abc7aed109b0ab5189810.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
43,阿亿坊(宣武门西大街店),美食,北京,https://qcloud.dpfile.com/pc/NFl6lUP_IDaP0vIdMtLkg3kVaydUHnvQK3D7l-WZPR436-xvDGHosSE8LMjFc96Qd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
44,瑞幸咖啡(金融街月坛中心店),美食,北京,https://img.meituan.net/content/1e6d314e9ece157ad5d9d2e8375b9973522839.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
45,LINLEE林里·手打柠檬茶(新华百货店),美食,北京,https://img.meituan.net/content/6ca37ed536d215cf93769c4cdf0277243408877.png%40300w_1e_1l%7Cwatermark%3D0
46,Hit The Hay cocktail bar&coffee,美食,北京,http://p0.meituan.net/merchant/0b30c3ff2d64bcba1b4906ed940076a9551740.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
47,沪上阿姨鲜果茶(大栅栏店),美食,北京,https://img.meituan.net/content/db9c097f27dac7d45bc27a6363f8329f929463.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
48,模范书局咖啡厅·诗空间店,美食,北京,http://p1.meituan.net/poipicadd/ddc8eaa3f4de26f668cd5bff5f8a1bf2455253.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
49,瑞幸咖啡(JK FUN店),美食,北京,http://p0.meituan.net/poipicadd/b96134c8285b8e03a281d3afbe9d4d26497237.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
50,星巴克(北京建威大厦店),美食,北京,http://p0.meituan.net/biztone/1543022788_1664528982383.jpeg%40300w_1e_1l%7Cwatermark%3D0
51,永逸轩酒店(北京天坛公园店),酒店,北京,https://p0.meituan.net/tdchoteldark/333bf647423532613864999e0cbdd909421003.jpg%401035w_585h_1e_1c_1l_80q%7Cwatermark%3D0
52,北京天坛东门站希尔顿花园酒店,酒店,北京,https://p0.meituan.net/tdchoteldark/b620f4488d7b1e4a08bd630acef56b481807202.jpg%401035w_585h_1e_1c_1l_80q%7Cwatermark%3D0
